date,snpt,balance,in_total,in_from_operator,out_total,out_to_operator,number,start_block,end_block,rate,event,memo
2025-04-15 00:00:00+00:00,0.00929,33019223.02,1682814.666,500000,1363402.929,0,535,2025-04-14 23:59:59+00:00,2025-04-15 23:59:59+00:00,3.01042,,
2025-04-16 00:00:00+00:00,0.008601,33623690.68,1759234.782,500000,1154767.122,0,349,2025-04-15 23:59:59+00:00,2025-04-16 23:59:57+00:00,3.117618,,
2025-04-17 00:00:00+00:00,0.00893,34302424.71,2069762.312,0,1357493.858,0,474,2025-04-16 23:59:57+00:00,2025-04-17 23:59:59+00:00,3.225323,SNPT => STP exchange ranking intermediate measurement,
2025-04-18 00:00:00+00:00,0.008425,34099934.57,751926.4234,0,987950.9836,0,158,2025-04-18 00:00:01+00:00,2025-04-18 23:59:59+00:00,3.203226,,
2025-04-19 00:00:00+00:00,0.008472,33911990.17,665415.5719,0,853359.977,0,160,2025-04-19 00:00:01+00:00,2025-04-19 23:59:59+00:00,3.146151,,
2025-04-20 00:00:00+00:00,0.008239,33847540.85,1089733.895,500000,1154183.214,0,182,2025-04-20 00:00:01+00:00,2025-04-20 23:59:58+00:00,3.151934,,
2025-04-21 00:00:00+00:00,0.00828,34047535.33,1463028.834,500000,1263034.35,0,219,2025-04-21 00:00:00+00:00,2025-04-21 23:59:59+00:00,3.173686,,
2025-04-22 00:00:00+00:00,0.008218,34052049.07,1388332.99,0,1383270.429,0,204,2025-04-22 00:00:01+00:00,2025-04-22 23:59:59+00:00,3.124405,,
2025-04-23 00:00:00+00:00,0.008086,34180253.65,2645653.068,500000,2532705.894,0,313,2025-04-23 00:00:03+00:00,2025-04-23 23:59:59+00:00,3.173584,,
2025-04-24 00:00:00+00:00,0.008451,35772558.35,5847835.861,500000,4077550.847,0,673,2025-04-24 00:00:01+00:00,2025-04-24 23:59:58+00:00,3.434431,(1)9:00: SNPT => STP exchange ranking ends (2)Afternoon: Synthesis functions 5 and 6 implemented (event to let people use STP),STP exchange event did not raise token prices much
2025-04-25 00:00:00+00:00,0.007822,34993049.19,653404.3935,500000,1596185.285,0,181,2025-04-25 00:00:00+00:00,2025-04-25 23:59:58+00:00,3.296359,,Token prices dropped after the STP exchange event
2025-04-26 00:00:00+00:00,0.007403,34358302.93,66582.78678,0,668620.6213,0,127,2025-04-26 00:00:00+00:00,2025-04-26 23:59:59+00:00,3.156812,,
2025-04-27 00:00:00+00:00,0.006888,33880002.47,36066.52616,0,547075.4151,0,119,2025-04-27 00:00:01+00:00,2025-04-27 23:59:58+00:00,3.064531,,
2025-04-28 00:00:00+00:00,0.0077772,33792550.24,610943.678,500000,598379.053,0,132,2025-04-28 00:00:00+00:00,2025-04-28 23:59:58+00:00,3.047948,,
2025-04-29 00:00:00+00:00,0.006947,33198455.56,3587.028,0,697698.564,0,143,2025-04-29 00:00:00+00:00,2025-04-29 23:59:58+00:00,2.930546,,
2025-04-30 00:00:00+00:00,0.006929,32916565.98,510078,500000,791967.577,0,159,2025-04-30 00:00:00+00:00,2025-04-30 23:59:59+00:00,2.852826,"News:Founder steps down as President, but continues to operate as Founder.",
2025-05-01 00:00:00+00:00,0.007179,32841556.27,570803.551,500000,645307.197,0,147,2025-05-01 00:00:01+00:00,2025-05-01 23:59:58+00:00,2.847661,"AMA:(Positive)Advertising sales, SNPT management hold 100M and increase further.",
2025-05-02 00:00:00+00:00,0.006884,32816163.91,553304.112,500000,579202.539,0,135,2025-05-02 00:00:00+00:00,2025-05-02 23:59:58+00:00,2.837707,,
2025-05-03 00:00:00+00:00,0.006301,32125094.45,41299.995,0,731014.203,0,157,2025-05-03 00:00:00+00:00,2025-05-03 23:59:58+00:00,2.797057,,
2025-05-04 00:00:00+00:00,0.006689,32306949.09,562050.496,500000,381551.109,0,122,2025-05-04 00:00:00+00:00,2025-05-04 23:59:58+00:00,2.729855,,
2025-05-05 00:00:00+00:00,0.005989,31936109.84,25849.28,0,396688.523,0,131,2025-05-05 00:00:02+00:00,2025-05-05 23:59:59+00:00,2.632734,,
2025-05-06 00:00:00+00:00,0.005236,31507911.14,23449.122,0,451078.532,0,141,2025-05-06 00:00:01+00:00,2025-05-06 23:59:58+00:00,2.57894,,
2025-05-07 00:00:00+00:00,0.00515,31271447.84,124150.815,0,361183.407,0,120,2025-05-07 00:00:00+00:00,2025-05-07 23:59:58+00:00,2.527374,,
2025-05-08 00:00:00+00:00,0.004949,30842237.82,51242.512,0,480452.53,0,142,2025-05-08 00:00:00+00:00,2025-05-08 23:59:58+00:00,2.467727,,
2025-05-09 00:00:00+00:00,0.005148,30623957.28,24267.02,0,242547.565,0,107,2025-05-09 00:00:00+00:00,2025-05-09 23:59:59+00:00,2.42811,,
2025-05-10 00:00:00+00:00,0.005225,30679712.31,519630.324,500000,463875.295,0,122,2025-05-10 00:00:01+00:00,2025-05-10 23:59:59+00:00,2.430139,,
2025-05-11 00:00:00+00:00,0.0051,30440484.67,65496.773,0,298781.492,0,136,2025-05-11 00:00:01+00:00,2025-05-11 23:59:57+00:00,2.391324,,
2025-05-12 00:00:00+00:00,0.004987,31102858.52,1022513.683,1000000,366082.748,0,119,2025-05-12 00:00:01+00:00,2025-05-12 23:59:58+00:00,2.495371,,
2025-05-13 00:00:00+00:00,0.005208,31091391.83,529708.33,500000,541175.026,0,142,2025-05-13 00:00:00+00:00,2025-05-13 23:59:58+00:00,2.497931,,
2025-05-14 00:00:00+00:00,0.005047,30885267,18128.7,0,224253.522,0,89,2025-05-14 00:00:00+00:00,2025-05-14 23:59:59+00:00,2.461753,"AMA:(Positive)Buyback will be done, timing undecided.",
2025-05-15 00:00:00+00:00,0.005123,30542628,4451.995,0,347090.998,0,112,2025-05-15 00:00:01+00:00,2025-05-15 23:59:58+00:00,2.399796,,
2025-05-16 00:00:00+00:00,0.005065,30247981.49,8738.732,0,303385.243,0,103,2025-05-16 00:00:00+00:00,2025-05-16 23:59:59+00:00,2.331615,,
2025-05-17 00:00:00+00:00,0.005045,29902910.3,5731.008,0,350802.198,0,99,2025-05-17 00:00:01+00:00,2025-05-17 23:59:59+00:00,2.282002,,
2025-05-18 00:00:01+00:00,0.005141,31699802,2514934.9,2500000,601718.641,0,152,2025-05-18 00:00:01+00:00,2025-05-18 23:59:59+00:00,2.604453,in_from_operator 2.5M,
2025-05-19 00:00:00+00:00,0.005162,31497478.78,25342.533,0,343990.313,0,100,2025-05-19 00:00:01+00:00,2025-05-19 23:59:58+00:00,2.545201,,
2025-05-20 00:00:00+00:00,0.005117,31040737.35,35905.64,0,299955.639,0,94,2025-05-20 00:00:00+00:00,2025-05-20 23:59:57+00:00,2.497108,,
2025-05-21 00:00:00+00:00,0.005459,32312574.68,1502100,1500000,422954.103,0,116,2025-05-21 00:00:01+00:00,2025-05-21 23:59:58+00:00,2.758529,,
2025-05-22 00:00:00+00:00,0.005594,32429777.4,523881.6,500000,406678.873,0,109,2025-05-22 00:00:00+00:00,2025-05-22 23:59:58+00:00,2.698419,,
2025-05-23 00:00:00+00:00,0.00559,32080013.78,1825.37,0,351588.997,0,94,2025-05-23 00:00:00+00:00,2025-05-23 23:59:59+00:00,2.627752,,
2025-05-24 00:00:00+00:00,0.005644,31854913.13,0,0,225100.65,0,86,2025-05-24 00:00:01+00:00,2025-05-24 23:59:59+00:00,2.7,,
2025-05-25 00:00:00+00:00,0.005619,31040737.35,76589.908,0,462727.899,0,102,2025-05-25 00:00:01+00:00,2025-05-25 23:59:56+00:00,2.765879,,
2025-05-26 00:00:00+00:00,0.005686,32666715.26,2000000,2000000,773810.003,0,136,2025-05-26 00:00:00+00:00,2025-05-26 23:59:58+00:00,2.728741,,
